# Segunda vuelta de vocabulario: de la S a la Z
SABANDIJA|Bicho pequeño y repugnante
VACILANTE|Que duda e inseguro
VACUIDAD|Vacío y falta de contenido
VACUNACION|Aplicación de una vacuna
VADEABLE|Que se puede cruzar a pie
VAGABUNDEAR|Andar errante
VAGONETA|Vagón pequeño y descubierto
VAGUEAR|Andar sin hacer nada
VAHARADA|Golpe de vapor o de olor
VAINICA|Bordado calado del dobladillo
VAJILLERO|Mueble donde se guarda la loza
VALEDOR|Quien ampara a otro
VALENTIA|Ánimo ante el peligro
VALETUDINARIO|Enfermizo y achacoso
VALIDEZ|Cualidad de lo que vale
VALIOSO|De mucho precio o mérito
VALLADAR|Obstáculo que defiende
VALORACION|Determinación del valor
VALVULAR|Relativo a las válvulas
VANAGLORIARSE|Jactarse sin motivo
VANDALISMO|Destrucción por gusto
VANGUARDISTA|De las corrientes más nuevas
VAPOROSIDAD|Ligereza como de vapor
VAPULEAR|Golpear o criticar con dureza
VAQUERIZO|Pastor de vacas
VARADERO|Lugar donde se repara el casco
VARAPALO|Golpe o disgusto grande
VAREAR|Sacudir con vara el olivo
VARIABILIDAD|Facilidad para cambiar
VARIANTE|Versión distinta de algo
VARILLA|Vara delgada
VARIOPINTO|Muy diverso y mezclado
VARONIL|Propio del hombre
VASALLAJE|Sujeción al señor feudal
VASCULAR|Relativo a los vasos sanguíneos
VASIJA|Recipiente para líquidos
VASTEDAD|Gran extensión
VATICINIO|Predicción del futuro
VECINDARIO|Conjunto de los vecinos
VECTOR|Segmento con dirección y sentido
VEDADO|Terreno de caza prohibida
VEGETACION|Conjunto de las plantas
VEGETARIANO|Que no come carne
VEHICULAR|Servir de vehículo a algo
VEJACION|Humillación que se inflige
VEJESTORIO|Persona muy vieja
VELADOR|Mesita de una sola pata
VELAMEN|Conjunto de velas del barco
VELEIDAD|Capricho inconstante
VELETA|Indica la dirección del viento
VELLOSIDAD|Presencia de vello
VELOCISTA|Corredor de distancias cortas
VENABLO|Dardo o lanza corta
VENCIDO|Derrotado en la lucha
VENDIMIADOR|Quien recoge la uva
VENERACION|Respeto profundo
VENIALIDAD|Carácter leve de una falta
VENIDA|Llegada de alguien
VENTANUCO|Ventana pequeña y mala
VENTEAR|Olfatear el aire el animal
VENTILACION|Renovación del aire
VENTOLERA|Golpe de viento o capricho
VENTRILOCUO|Quien habla sin mover los labios
VENTURA|Suerte feliz
VERACIDAD|Condición de lo verdadero
VERANEANTE|Quien pasa fuera el estío
VERBALIZAR|Expresar con palabras
VERBORREA|Torrente de palabras
VERBOSIDAD|Abundancia de palabras
VERDADERO|Conforme a la realidad
VERDINEGRO|Verde muy oscuro
VERDOR|Color verde vivo
VERDULERO|Vendedor de hortalizas
VEREDICTO|Fallo del jurado
VERGONZANTE|Que se avergüenza de pedir
VERICUETO|Lugar de difícil acceso
VERIFICACION|Comprobación de un hecho
VERISIMIL|Que parece verdadero
VERMIFUGO|Que expulsa las lombrices
VERSADO|Entendido en una materia
VERSIFICAR|Componer en verso
VERTEBRADO|Animal con columna
VERTEDOR|Que vierte un líquido
VERTIGINOSO|De rapidez que marea
VESANIA|Furia y locura
VESICULA|Bolsa pequeña del cuerpo
VESTIDURA|Ropa que se viste
VESTIGIOS|Huellas de lo que existió
VETERINARIA|Ciencia de la salud animal
VIABILIDAD|Posibilidad de llevarse a cabo
VIANDANTE|Persona que camina
VIBRACION|Movimiento rápido de vaivén
VICARIA|Oficina del vicario
VICEPRESIDENTE|Segundo del presidente
VICISITUD|Alternancia de sucesos
VICTIMARIO|Quien causa la víctima
VIDRIADO|Loza cubierta de barniz
VIDRIOSO|Frágil o delicado de tratar
VIEJALES|Persona mayor, en tono festivo
VIGENCIA|Periodo en que algo está en vigor
VIGILANCIA|Cuidado atento
VIGORIZAR|Dar fuerza
VIGOROSO|Lleno de energía
VIKINGO|Guerrero escandinavo medieval
VILIPENDIO|Desprecio público
VINAGRERA|Recipiente del vinagre
VINCULACION|Unión estrecha
VINDICACION|Defensa de lo justo
VINICOLA|Relativo a la producción del vino
VINICULTOR|Quien elabora el vino
VIOLACION|Quebrantamiento de una ley
VIOLETERA|Vendedora de flores moradas
VIOLINISTA|Quien toca el violín
VIRAJE|Cambio brusco de rumbo
VIRGINAL|Puro e intacto
VIRIDEZ|Verdor de las plantas
VIRILIDAD|Condición de varón adulto
VIRTUALIDAD|Existencia solo en potencia
VIRULENCIA|Violencia de una enfermedad o crítica
VISCERAL|Profundo e irracional
VISCOSIDAD|Espesura pegajosa
VISERA|Ala que protege del sol
VISIBILIDAD|Distancia a la que se ve
VISIONARIA|Mujer que dice ver el futuro
VISITANTE|Quien acude de visita
VISLUMBRE|Indicio leve de algo
VISORIO|Relativo a la visión
VISTOSIDAD|Cualidad de lo llamativo
VITALIDAD|Energía para vivir
VITALIZAR|Dar vida y vigor
VITRIFICAR|Convertir en vidrio
VITUALLA|Provisión de comida
VITUPERIO|Censura dura y pública
VIUDEDAD|Pensión de la viuda
VIVACIDAD|Viveza y energía
VIVARACHO|Alegre y despierto
VIVENCIAL|Basado en lo vivido
VIVIFICAR|Dar vida y aliento
VIVISECCION|Disección de un animal vivo
VOCABULARIO|Conjunto de palabras conocidas
VOCACIONAL|Relativo a la inclinación profesional
VOCALIZACION|Pronunciación clara
VOCATIVO|Caso de la llamada
VOCIFERAR|Hablar a grandes voces
VOLADIZO|Que sobresale del muro
VOLANDERO|Que va de un sitio a otro
VOLATERIA|Caza con aves rapaces
VOLATIZAR|Convertir en vapor
VOLCANICO|Propio del volcán
VOLICION|Acto de la voluntad
VOLQUETE|Camión que descarga basculando
VOLTERETA|Vuelta que se da en el aire
VOLUBLE|De carácter cambiante
VOLUMINOSO|De gran bulto
VOLUNTARIEDAD|Carácter libre de un acto
VOLUPTUOSO|Dado al placer de los sentidos
VOMITIVO|Que provoca el vómito
VORACIDAD|Gana desmedida de comer
VOTACION|Acto de emitir los votos
VOYERISMO|Placer de mirar a escondidas
VULGARIDAD|Falta de finura
VULNERAR|Quebrantar un derecho
XENOFOBIA|Odio al extranjero
XEROGRAFIA|Copia en seco de documentos
XILOGRAFIA|Grabado en madera
YACIMIENTO|Lugar con restos o minerales
YANTAR|Comer, en lenguaje antiguo
YAPA|Añadidura que se regala
YERBAJO|Hierba sin valor
YERMAR|Dejar sin cultivar
YERRAR|Cometer un error
YESERIA|Obra decorativa de yeso
YOGUI|Practicante del yoga
YUGOSLAVO|Del antiguo país balcánico
YUGULAR|Vena gruesa del cuello
YUNTERO|Quien labra con yunta
YUXTAPUESTO|Puesto junto a otro
ZAFARRANCHO|Preparativo de combate o desorden
ZAFIRINO|Del color del zafiro
ZAGALEJO|Muchacho pastor
ZAGUANETE|Zaguán pequeño
ZAHORI|Quien dice hallar agua bajo tierra
ZAHURDA|Pocilga del cerdo
ZALAMERIA|Halago exagerado
ZAMARRA|Chaqueta de piel con lana
ZAMBOMBAZO|Golpe o explosión fuerte
ZAMBULLIDA|Inmersión rápida en el agua
ZAMPABOLLOS|Persona que come mucho
ZANCADILLEAR|Poner la traba con el pie
ZANCAJEAR|Andar mucho de un lado a otro
ZANGANEAR|Andar vagueando
ZANJEAR|Abrir zanjas
ZAPATAZO|Golpe dado con el zapato
ZAPATIESTA|Alboroto y jaleo
ZAQUIZAMI|Desván pequeño y sucio
ZARABANDEAR|Andar de un lado a otro con bulla
ZARANDAJA|Cosa menuda y sin valor
ZARANDEO|Sacudida repetida
ZARPADA|Salida del barco del puerto
ZARRAPASTROSO|Desaliñado y sucio
ZARZAL|Terreno lleno de zarzas
ZASCANDIL|Persona enredadora y ligera
ZOOTECNIA|Cría y mejora del ganado
ZOQUETERIA|Torpeza y necedad
ZORRERIA|Astucia propia del zorro
ZOZOBRAR|Peligrar de hundirse el barco
ZUMBIDO|Ruido continuo y sordo
ZUNCHO|Abrazadera metálica
ZUPIA|Poso del vino o cosa despreciable
ZURCIDO|Remiendo cosido con puntadas
ZURDERIA|Uso preferente de la mano izquierda
ZURRIAGAZO|Golpe dado con el látigo
ZURRIBURRI|Confusión y desorden
