# Vocabulario general: palabras que empiezan por C
CABALLERO|Señor de buenos modales
COMARCA|Territorio con varios pueblos
COMBATIR|Luchar contra el enemigo
COMBINAR|Unir en proporción
COMBUSTIBLE|Arde y da energía
COMEDIDO|Moderado y prudente
COMENSAL|Invitado a la mesa
COMENTARIO|Opinión sobre algo
COMERCIANTE|Se dedica a vender
COMESTIBLE|Que se puede comer
COMETER|Realizar una falta
COMEZON|Picor insistente
COMICO|Que hace reír
COMILONA|Comida muy abundante
COMINO|Especia de sabor fuerte
COMISION|Porcentaje de la venta
COMODIDAD|Bienestar sin esfuerzo
COMPANERO|Con quien se comparte
COMPARAR|Ver las diferencias
COMPARSA|Grupo de carnaval
COMPASION|Lástima por el que sufre
COMPENDIO|Resumen de una materia
COMPETIR|Luchar por ganar
COMPLACER|Dar gusto a alguien
COMPLEJO|Difícil y enrevesado
COMPLICE|Ayuda en el delito
COMPONER|Crear una obra musical
COMPORTAR|Conducirse de cierto modo
COMPOTA|Fruta cocida con azúcar
COMPRENDER|Entender bien
COMPRIMIR|Apretar reduciendo el volumen
COMPROBAR|Verificar que es cierto
COMULGAR|Recibir la hostia
COMUNICAR|Transmitir un mensaje
CONCEDER|Otorgar lo pedido
CONCEJAL|Miembro del ayuntamiento
CONCEPTO|Idea que se tiene
CONCIENCIA|Conocimiento del bien y el mal
CONCILIO|Asamblea de obispos
CONCISO|Breve y preciso
CONCLUIR|Dar por terminado
CONCORDIA|Acuerdo y buen entendimiento
CONCRETO|Preciso y determinado
CONCURRIR|Acudir varios a un sitio
CONDENAR|Imponer la pena
CONDIMENTO|Aliño que da sabor
CONDUCIR|Llevar el vehículo
CONECTAR|Enchufar dos partes
CONFERENCIA|Charla ante un público
CONFESAR|Reconocer la culpa
CONFETI|Papelitos de fiesta
CONFIAR|Fiarse de alguien
CONFIRMAR|Dar por seguro
CONFISCAR|Requisar los bienes
CONFITE|Dulce pequeño de azúcar
CONFLICTO|Enfrentamiento de intereses
CONFORME|De acuerdo con algo
CONFUNDIR|Tomar una cosa por otra
CONGELAR|Convertir en hielo
CONGENIAR|Llevarse bien
CONGOJA|Angustia y pena
CONGREGAR|Reunir a mucha gente
CONJUNTO|Grupo de elementos
CONJURO|Fórmula mágica
CONMOVER|Emocionar profundamente
CONOCER|Saber cómo es algo
CONQUISTAR|Ganar por las armas
CONSAGRAR|Dedicar a algo sagrado
CONSCIENTE|Que se da cuenta
CONSEGUIR|Lograr lo buscado
CONSENTIR|Permitir sin poner trabas
CONSERVA|Alimento en lata
CONSIDERAR|Tener en cuenta
CONSIGNA|Orden que se cumple
CONSISTIR|Estar formado por algo
CONSOLAR|Aliviar la tristeza
CONSPIRAR|Tramar contra el poder
CONSTANCIA|Firmeza en el empeño
CONSTRUIR|Levantar un edificio
CONSULTA|Despacho del médico
CONSUMIR|Gastar un producto
CONTABLE|Lleva las cuentas
CONTAGIO|Transmisión de una enfermedad
CONTAR|Decir un cuento
CONTEMPLAR|Mirar con calma
CONTENER|Tener dentro
CONTESTAR|Dar respuesta
CONTINUAR|Seguir adelante
CONTORNO|Línea exterior de una figura
CONTRABANDO|Comercio ilegal de mercancías
CONTRARIO|Opuesto en todo
CONTRASTE|Diferencia muy marcada
CONTRIBUIR|Aportar a un fin común
CONTROLAR|Tener el mando de algo
CONVENCER|Lograr que otro acepte
CONVENIR|Resultar provechoso
CONVERSAR|Hablar con otro
CONVIDAR|Invitar a comer
CONVOCAR|Llamar a una reunión
CONVOY|Fila de vehículos escoltados
COOPERAR|Obrar junto a otros
COPIAR|Reproducir un texto
COPILOTO|Acompaña al que conduce
CORAJE|Valor ante el peligro
CORCEL|Caballo brioso y veloz
CORCHEA|Nota musical con rabito
CORDIAL|Afectuoso en el trato
CORDURA|Buen juicio y sensatez
CORNADA|Herida que hace el toro
CORNISA|Saliente del edificio
CORONAR|Poner la corona
CORPULENTO|De cuerpo grande y fuerte
CORRALIZA|Patio cercado de vecinos
CORREDOR|Pasillo de la casa
CORREGIR|Enmendar los fallos
CORRER|Ir a gran velocidad a pie
CORROER|Desgastar poco a poco
CORROMPER|Echar a perder
CORSARIO|Pirata con licencia del rey
CORTAR|Dividir con filo
CORTEJO|Acompañamiento en una ceremonia
CORTEZA|Capa externa del árbol
CORTIJO|Finca andaluza con casa
CORTOCIRCUITO|Fallo eléctrico con chispas
COSECHAR|Recoger lo sembrado
COSMETICO|Producto de belleza
COSMOS|Universo entero
COSQUILLAS|Producen risa involuntaria
COSTAR|Tener un precio
COSTERO|Cercano al mar
COSTOSO|De precio muy alto
COTEJAR|Comparar dos textos
COTIDIANO|De todos los días
COTILLEO|Chismorreo de vecinas
COTIZAR|Pagar a la seguridad social
COTO|Terreno acotado de caza
COYUNTURA|Momento y circunstancias
CRECER|Aumentar de tamaño
CREDITO|Préstamo del banco
CREMALLERA|Cierre de dientes
CREPITAR|Chisporrotear el fuego
CRIADERO|Lugar donde se crían animales
CRIANZA|Cuidado durante el crecimiento
CRIATURA|Ser recién creado
CRIBAR|Separar con la criba
CRIOLLO|Nacido en América de padres europeos
CRISANTEMO|Flor de los difuntos
CRISTALERA|Puerta o ventana de vidrio
CRISTIANO|Seguidor de Cristo
CRITICAR|Juzgar con dureza
CROQUETA|Bola rebozada y frita
CRUCIFIJO|Imagen de Cristo en la cruz
CRUZAR|Pasar de un lado a otro
CUADRADO|Figura de cuatro lados iguales
CUADRILLA|Grupo de trabajo o de toreros
CUAJAR|Espesarse la leche
CUALIDAD|Rasgo bueno de alguien
CUANTIA|Importe de una cantidad
CUARENTENA|Aislamiento por contagio
CUARZO|Mineral de cristales duros
CUBIERTO|Cuchara, tenedor y cuchillo
CUBRIR|Tapar por completo
CUCARACHA|Insecto nocturno de cocina
CUCHICHEAR|Hablar al oído
CUCHITRIL|Cuarto sucio y pequeño
CULMINAR|Llegar a lo más alto
CULPABLE|Autor de la falta
CULTIVAR|Sembrar y cuidar la tierra
CULTO|Persona de muchos saberes
CUMBRERA|Viga más alta del tejado
CUMPLIR|Hacer lo prometido
CUNADO|Hermano del cónyuge
CUNDIR|Dar mucho de sí
CUOTA|Pago periódico del socio
CUPON|Vale con descuento
CURANDERO|Cura sin ser médico
CURAR|Devolver la salud
CURIOSEAR|Mirar por entretenimiento
CURRICULO|Historial profesional
CURSAR|Estudiar una carrera
CURSI|De gusto pretencioso y ridículo
CURTIR|Preparar las pieles
CUSTODIAR|Guardar con vigilancia
