# Segunda vuelta de vocabulario: A, B y C
ABALORIO|Cuentecilla de collar
CARTELERIA|Conjunto de carteles
CARTOMANCIA|Adivinación con las cartas
CASAMENTERO|Quien concierta bodas
CASCABELEO|Ruido de los cascabeles
CASCARRABIAS|De genio irritable
CASERON|Casa grande y destartalada
CASQUIVANO|De poco juicio y ligero
CASTIGADOR|Que impone penas
CASTRAR|Quitar las glándulas reproductoras
CATACLISMICO|De trastorno enorme
CATALIZAR|Favorecer una reacción
CATAPULTAR|Lanzar con fuerza
CATASTROFICO|De consecuencias desastrosas
CATERVA|Multitud desordenada
CAUCIONAR|Dar garantía
CAUDALOSO|De mucha agua
CAUTIVERIO|Estado del prisionero
CAVERNICOLA|Que vive en cuevas
CAVIDAD|Espacio hueco
CAZALLA|Aguardiente anisado sevillano
CAZOLETA|Recipiente pequeño de la pipa
CEDULA|Documento oficial escrito
CEGATO|Corto de vista
CELADOR|Vigilante de un recinto
CELEBRIDAD|Persona muy conocida
CELERIDAD|Rapidez en el obrar
CELESTINA|Alcahueta de la literatura
CELIBE|Que no se ha casado
CELULAR|Relativo a las células
CEMENTAR|Recubrir con cemento
CENCEÑO|Delgado y enjuto
CENICERO|Recipiente de la ceniza del tabaco
CENOBIO|Monasterio de vida común
CENSAR|Hacer el recuento de habitantes
CENSOR|Quien examina lo que se publica
CENTELLEAR|Despedir destellos
CENTINELA|Soldado que vigila
CENTRALIZAR|Reunir en un solo centro
CENTRIFUGO|Que se aleja del centro
CENTUPLO|Cien veces mayor
CEPILLAR|Alisar con el cepillo
CERCENADURA|Corte de los bordes
CEREBRAL|Relativo al cerebro
CERNIR|Separar con el cedazo
CERRAZON|Cielo muy cubierto y oscuro
CERTEZA|Conocimiento seguro
CERTIFICAR|Acreditar por escrito
CERVANTINO|Propio del autor del Quijote
CESANTIA|Situación del que queda sin empleo
CETRERIA|Arte de cazar con aves rapaces
CHABACANO|De mal gusto y grosero
CHACHARA|Conversación banal
CHALANEAR|Negociar con astucia
CHAMARILERO|Compra y vende objetos usados
CHAMBERGO|Sombrero de ala ancha
CHAMUSQUINA|Quemadura ligera y su olor
CHANCLETA|Zapatilla sin talón
CHANTAJEAR|Amenazar para sacar provecho
CHAPARRAL|Terreno de matas bajas
CHAPUCERO|Que hace mal su trabajo
CHAQUETEAR|Cambiar de bando por interés
CHARCUTERIA|Tienda de embutidos
CHARLATANERIA|Palabrería sin fundamento
CHAROLAR|Dar brillo de charol
CHASQUEAR|Producir un chasquido
CHIRIMBOLO|Cachivache indefinido
CHIRIPA|Suerte inesperada
CHISMORREAR|Contar chismes
CHISPORROTEAR|Saltar chispas del fuego
CHIVATEAR|Delatar a alguien
CHOCANTE|Que sorprende y extraña
CHOCARRERO|De bromas groseras
CHUBASQUERO|Prenda impermeable
CHULAPO|Personaje castizo madrileño
CHUNGA|Burla festiva
CHUPATINTAS|Oficinista de poca monta
CHURRIGUERESCO|Estilo barroco muy recargado
CHUSCO|Gracioso y de ocurrencia
CICATERIA|Tacañería mezquina
CICLOPEO|De tamaño gigantesco
CIEGAMENTE|Sin ver ni reflexionar
CIENTIFISMO|Confianza absoluta en la ciencia
CIMARRON|Animal doméstico que se ha hecho salvaje
CIMBORRIO|Cúpula sobre el crucero
CINCELADURA|Labor hecha con cincel
CINEGETICA|Arte de la caza
CINGLAR|Navegar impulsando con un remo
CIRCUNSPECTO|Prudente y comedido
CIRCUNVALAR|Rodear una ciudad
CISNERO|Relativo a las aves de cuello curvo
CITADINO|Propio de la ciudad
CIZALLA|Tijera grande que corta metal
CLANDESTINIDAD|Situación de lo que se oculta
CLARIVIDENTE|Que ve con gran lucidez
CLAUSURAR|Cerrar un acto o local
CLAVETEAR|Adornar con clavos
CLEPTOMANIA|Impulso irresistible de robar
CLERECIA|Conjunto de los clérigos
CLIENTELA|Conjunto de los compradores
CLIMATOLOGIA|Estudio de los climas
COACCION|Fuerza que obliga
COADYUVAR|Contribuir a un fin
COAGULO|Masa de sangre cuajada
COALICION|Alianza entre partidos
COARTAR|Limitar la libertad
COBERTURA|Extensión de un servicio
COBIJAR|Dar amparo
COBRADOR|Quien recauda el dinero
COCEAR|Tirar coces
COCHAMBRE|Suciedad grasienta
COCHAMBROSO|Sucio y asqueroso
CODICIAR|Desear con avidez
CODIFICAR|Reunir en un código
COERCITIVO|Que reprime u obliga
COETANEO|Nacido en la misma época
COHABITACION|Convivencia bajo un mismo techo
COHESION|Unión firme entre las partes
COHORTE|Unidad de la legión romana
COJEAR|Andar renqueando
COLACION|Comida ligera
COLADERO|Sitio por donde se cuela algo
COLECTIVO|Que afecta a un grupo
COLEGIAL|Alumno de un colegio
COLERICO|De carácter irascible
COLIGAR|Unir para un fin común
COLINDAR|Tener límites comunes
COLMENAR|Lugar de las colmenas
COLOFON|Remate final de una obra
COLONIZAR|Poblar y dominar un territorio
COLORIDO|Conjunto de los colores
COLOSO|Estatua o persona enorme
COLUDIR|Ponerse de acuerdo en perjuicio de otro
COMADREAR|Cotillear entre vecinas
COMANDITA|Sociedad mercantil con socios pasivos
COMARCAL|Relativo a una comarca
COMBA|Curvatura de una superficie
COMBATIVO|Dispuesto a luchar
COMBINACION|Unión ordenada de elementos
COMEDIANTE|Actor de comedias
COMEDIMIENTO|Moderación y cortesía
COMESTIBLES|Artículos de alimentación
COMETIDO|Encargo que se ha de cumplir
COMICIOS|Elecciones públicas
COMILON|Que come mucho
COMISARIO|Jefe de policía o delegado
COMISURA|Punto de unión de dos partes
COMPACTAR|Apretar hasta hacer denso
COMPADECER|Sentir lástima por otro
COMPADRE|Padrino respecto de los padres
COMPAGINAR|Hacer compatibles dos cosas
COMPARECER|Presentarse ante el juez
COMPARSA|Grupo que acompaña en la fiesta
COMPASAR|Ajustar con medida
COMPELER|Obligar por la fuerza
COMPENDIAR|Reducir a lo esencial
COMPENSAR|Igualar el efecto de algo
COMPETENCIA|Rivalidad entre empresas
COMPILAR|Reunir textos en una obra
COMPLACENCIA|Satisfacción por algo
COMPLEXION|Constitución física de alguien
COMPLOT|Confabulación secreta
COMPORTAMIENTO|Manera de conducirse
COMPOSTURA|Arreglo y buen orden
COMPULSAR|Cotejar dos documentos
COMPUNGIDO|Apenado y contrito
COMULGANTE|Quien recibe la comunión
COMUNIDAD|Grupo de personas con algo en común
CONATO|Intento que no se logra
CONCATENAR|Enlazar unas cosas con otras
CONCAVO|Hundido en el centro
CONCEBIR|Formar una idea
CONCERNIR|Atañer a alguien
CONCERTAR|Poner de acuerdo
CONCESION|Permiso que otorga la autoridad
CONCILIAR|Poner de acuerdo a dos partes
CONCISION|Brevedad al expresarse
CONCLAVE|Reunión de cardenales
CONCORDAR|Estar de acuerdo
CONCUBINA|Compañera sin matrimonio
CONCULCAR|Vulnerar un derecho
CONCURRENCIA|Público que acude
CONDENSAR|Reducir a menor volumen
CONDESCENDER|Acomodarse al gusto ajeno
CONDIMENTAR|Sazonar la comida
CONDOLENCIA|Pésame que se da
CONDUCTA|Manera de comportarse
CONFABULAR|Tramar en secreto
CONFECCIONAR|Hacer una prenda
CONFEDERAR|Unir en confederación
CONFIDENTE|Quien recibe confidencias
CONFIGURAR|Dar una forma determinada
CONFINAR|Desterrar a un lugar
CONFITERIA|Tienda de dulces
CONFLUIR|Juntarse dos ríos
CONFORMAR|Ajustar a una forma
CONFORTAR|Dar consuelo y fuerza
CONFRATERNIZAR|Tratarse como hermanos
CONGELACION|Paso al estado sólido por frío
CONGENITO|Que se tiene desde el nacimiento
CONGLOMERADO|Masa de elementos unidos
CONGRATULAR|Felicitar a alguien
CONJETURA|Juicio basado en indicios
CONJUGAR|Enunciar las formas del verbo
CONJUNCION|Palabra que enlaza
CONMEMORAR|Recordar una fecha
CONMINAR|Amenazar con una pena
CONMISERACION|Compasión por el que sufre
CONMOCION|Sacudida violenta
CONMUTAR|Cambiar una pena por otra
CONNIVENCIA|Acuerdo para hacer algo malo
CONSABIDO|Sabido por todos
CONSANGUINEO|Pariente por la sangre
CONSECUENCIA|Efecto de una causa
CONSECUTIVO|Que sigue inmediatamente
CONSENSO|Acuerdo de todos
CONSERVATORIO|Centro donde se estudia música
CONSIGNAR|Poner por escrito
CONSISTENCIA|Firmeza de un cuerpo
CONSOLIDAR|Dar firmeza a algo
CONSORCIO|Unión de empresas
CONSTATAR|Comprobar un hecho
CONSTERNAR|Causar gran abatimiento
CONSTRENIR|Obligar y apretar
CONSUETUDINARIO|Basado en la costumbre
CONSUMAR|Llevar a su término
CONTABILIDAD|Registro de las cuentas
CONTAMINAR|Ensuciar el medio ambiente
CONTEMPORANEO|De la misma época
CONTENCIOSO|Litigio ante los tribunales
CONTENDER|Luchar o disputar
CONTINGENTE|Grupo de tropas
CONTONEAR|Mover los hombros y caderas al andar
CONTRADECIR|Decir lo contrario
CONTRAER|Reducir de tamaño
CONTRAFUERTE|Machón que refuerza el muro
CONTRAPESO|Peso que equilibra otro
CONTRARIAR|Llevar la contraria
CONTRASENA|Palabra secreta de acceso
CONTRATIEMPO|Suceso que estorba
CONTRAVENIR|Obrar contra una norma
CONTRIBUYENTE|Quien paga impuestos
CONTRICION|Arrepentimiento sincero
CONTROVERSIA|Discusión prolongada
CONTUMAZ|Rebelde y obstinado
CONTUNDENTE|Que convence sin réplica
CONVALECER|Recobrar fuerzas tras la enfermedad
CONVENCION|Acuerdo o costumbre admitida
CONVERGER|Dirigirse a un mismo punto
CONVERTIR|Cambiar una cosa en otra
CONVIDADO|Invitado a la mesa
CONVULSION|Sacudida violenta del cuerpo
COOPERATIVA|Sociedad de socios trabajadores
COORDINAR|Ordenar esfuerzos hacia un fin
COPIOSO|Muy abundante
COPISTA|Quien copiaba manuscritos
COPULATIVO|Que une dos elementos
CORAJUDO|Lleno de arrojo
CORALINA|Formación de coral
CORDELERIA|Taller donde se hacen cuerdas
CORDIALIDAD|Afecto en el trato
CORDONAZO|Golpe dado con un cordón
CORNETIN|Instrumento de metal agudo
COROLARIO|Consecuencia que se deduce
CORONILLA|Parte superior de la cabeza
CORPORACION|Entidad pública o privada
CORPOREO|Que tiene cuerpo
CORPULENCIA|Gran tamaño del cuerpo
CORREGIDOR|Antiguo magistrado municipal
CORRELATO|Elemento que corresponde a otro
CORRESPONSAL|Periodista destinado fuera
CORRETEAR|Andar de un lado a otro
CORRIDA|Espectáculo taurino
CORROBORAR|Confirmar lo dicho
CORRUPCION|Abuso del cargo por interés
CORSE|Prenda que ciñe el talle
CORTAPISA|Traba que limita algo
CORTEDAD|Timidez o escasez
CORUSCANTE|Que brilla intensamente
COSECHERO|Dueño de la cosecha
COSMOPOLITA|Ciudadano del mundo
COSTALADA|Caída de espaldas
COSTANILLA|Calle corta y en cuesta
COSTEAR|Pagar los gastos
COSTURON|Cicatriz muy visible
COTIDIANIDAD|Vida de todos los días
COTIZACION|Precio en la bolsa
COTORREAR|Hablar sin parar
COYUNDA|Correa que uncía los bueyes
CRANEAL|Relativo al cráneo
CREACION|Obra hecha de la nada
CREDULO|Que se lo cree todo
CREMATORIO|Horno donde se incineran cuerpos
CRESPO|De pelo rizado y áspero
CRETINO|Estúpido y necio
CRIBA|Utensilio que separa el grano
CRISOL|Recipiente donde se funde el metal
CRISPAR|Irritar los nervios
CRITERIO|Norma para juzgar
CRONISTA|Quien escribe crónicas
CRONOLOGIA|Orden de los hechos en el tiempo
CRUCERIA|Conjunto de nervios de la bóveda
CRUJIA|Pasillo largo de un edificio
CRUZADO|Caballero de las cruzadas
CUADRAR|Ajustar las cuentas
CUADRICULA|Conjunto de cuadros iguales
CUADRUPEDO|Animal de cuatro patas
CUAJADA|Leche coagulada
CUANTIOSO|De gran cantidad
CUARENTON|Que ronda los cuarenta años
CUARTEAR|Dividir en cuartos
CUBICAR|Medir el volumen
CUBIL|Guarida de la fiera
CUBILETE|Vaso donde se agitan los dados
CUCHICHEO|Habla en voz muy baja
CUCHIPANDA|Comilona entre amigos
CUENTAGOTAS|Utensilio que dosifica gotas
CUERDO|De buen juicio
CUESTACION|Recogida de donativos
CUESTIONARIO|Lista de preguntas
CULATA|Parte trasera del arma
CULEBREAR|Avanzar haciendo eses
CULMINACION|Punto más alto de algo
CULPABILIDAD|Condición del que ha obrado mal
CULTIVADOR|Quien trabaja la tierra
CUMBRERO|Relativo a la parte más alta
CUMPLIMENTAR|Rellenar un impreso
CUNDIR|Extenderse una noticia
CUNEIFORME|Escritura antigua en forma de cuña
CUNETEAR|Ir por el borde de la carretera
CURANDERIA|Práctica del que cura sin título
CURIA|Conjunto de abogados y jueces
CURIOSON|Muy dado a fisgar
CURSILERIA|Afectación de mal gusto
CURTIDOR|Quien prepara las pieles
CUSTODIO|Que guarda y vigila
CUTANEO|Relativo a la piel
