# Segunda vuelta de vocabulario: de la D a la L
DADIVA|Regalo generoso
ESTAMPIDA|Huida en tropel del ganado
ESTAMPIDO|Estruendo de un disparo
ESTANCAR|Detener el curso del agua
ESTANCO|Tienda de tabaco y sellos
ESTANTERO|Encargado de los estantes
ESTATAL|Relativo al Estado
ESTATICO|Que no se mueve
ESTATUARIO|Propio de las estatuas
ESTATUIR|Establecer una norma
ESTELAR|Relativo a las estrellas
ESTENTOREO|De voz muy fuerte
ESTEPARIO|Propio de la llanura seca
ESTERILIZAR|Eliminar todo germen
ESTERTOR|Respiración ronca del moribundo
ESTIBADOR|Carga y descarga los barcos
ESTIERCOL|Abono de excrementos
ESTIGMA|Marca infamante
ESTILETE|Puñal de hoja muy fina
ESTILISTA|Escritor de estilo cuidado
ESTIMULANTE|Que activa el organismo
ESTIPENDIO|Paga por un servicio
ESTIPULAR|Fijar en un contrato
ESTIVAL|Propio del verano
ESTOCADA|Golpe de punta con la espada
ESTOICO|Que soporta el dolor sin quejarse
ESTOLA|Banda larga sobre los hombros
ESTOPA|Parte basta del lino o cáñamo
ESTORNINO|Ave de bandadas ruidosas
ESTRAPERLO|Comercio ilegal de posguerra
ESTRATO|Capa de un terreno
ESTRECHEZ|Falta de anchura o de medios
ESTRELLARSE|Chocar violentamente
ESTREMECIMIENTO|Temblor súbito del cuerpo
ESTRENIMIENTO|Dificultad para evacuar
ESTREPITO|Ruido muy grande
ESTRIA|Surco fino de una superficie
ESTRIBAR|Apoyarse o fundarse en algo
ESTRIBOR|Lado derecho del barco
ESTRIDENTE|De sonido agudo y molesto
ESTRIBILLO|Verso que se repite en la canción
ESTROPICIO|Destrozo y desorden
ESTRUENDOSO|De ruido tremendo
ESTUCO|Pasta blanca para revestir muros
ESTUDIOSO|Aplicado al estudio
ESTUPEFACTO|Pasmado de asombro
ESTUPIDEZ|Dicho o hecho necio
ETEREO|Sutil y vaporoso
ETIMOLOGIA|Origen de una palabra
ETNOGRAFIA|Estudio descriptivo de los pueblos
EUFEMISMO|Palabra suave que sustituye a otra dura
EUFONIA|Sonido agradable de las palabras
EUNUCO|Hombre castrado del harén
EVANGELIZAR|Predicar la buena nueva
EVASIVA|Respuesta que esquiva la cuestión
EVENTUAL|Que puede ocurrir o no
EVIDENCIAR|Poner de manifiesto
EXACERBAR|Agravar una situación
EXACTITUD|Precisión rigurosa
EXALTACION|Entusiasmo extremo
EXANIME|Sin señal de vida
EXASPERAR|Irritar mucho
EXCARCELAR|Sacar de la cárcel
EXCEPCION|Caso que se aparta de la regla
EXCLUSIVA|Derecho único de algo
EXCOMULGAR|Apartar de la comunidad de fieles
EXCRECENCIA|Bulto que sobresale
EXCUSABLE|Que se puede disculpar
EXECRABLE|Digno de aborrecimiento
EXEQUIAS|Honras fúnebres
EXHORTAR|Animar con razones
EXHUBERANCIA|Abundancia extremada
EXIGUO|Escaso y pequeño
EXIMIO|Excelente entre todos
EXISTENCIA|Hecho de existir
EXODO|Salida en masa de un pueblo
EXONERAR|Librar de una obligación
EXPATRIAR|Hacer salir de la patria
EXPECTACION|Espera llena de interés
EXPECTORAR|Arrancar la flema
EXPEDITO|Libre de estorbos
EXPERIMENTAR|Probar por la experiencia
EXPIACION|Pago de una culpa
EXPLANADA|Terreno llano y despejado
EXPLICITO|Dicho con toda claridad
EXPLORADOR|Quien recorre lo desconocido
EXPOLIAR|Despojar con violencia
EXPONENTE|Muestra representativa de algo
EXPROPIAR|Quitar un bien por interés público
EXPUGNAR|Tomar por asalto una plaza
EXQUISITEZ|Cosa de gusto muy fino
EXTASIAR|Quedar absorto de placer
EXTEMPORANEO|Fuera de tiempo
EXTENUAR|Agotar las fuerzas
EXTERMINIO|Destrucción total
EXTINTOR|Aparato que apaga incendios
EXTRACTAR|Reducir a lo esencial
EXTRALIMITAR|Pasarse de los límites
EXTRAVAGANTE|De gustos muy raros
EXTRAVIO|Pérdida de un objeto
EXTREMAR|Llevar al último punto
EXULTAR|Mostrar gran alegría
EYACULAR|Expulsar un líquido con fuerza
